;id;accumulated_score;achievements;n_achievements
0;23545831;46;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'TOP_10_TEMPLATES', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];10
1;23546017;46;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'TOP_10_TEMPLATES', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];10
2;23546026;45;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'TOP_10_TEMPLATES', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];10
3;49500782;45;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'TOP_10_TEMPLATES', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];10
4;23546121;45;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'TOP_10_TEMPLATES', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];10
5;23546408;45;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'TOP_10_TEMPLATES', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];10
6;23545466;43;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];9
7;23545590;43;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];9
8;36240034;43;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];9
9;23545770;43;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];9
